date,index
2020-09-24,48.65741
2020-09-25,48.65741
2020-09-26,48.65741
2020-09-27,48.65741
2020-09-28,48.65741
2020-09-29,48.65741
2020-09-30,48.65741
2020-10-01,48.65741
2020-10-02,48.65741
2020-10-03,48.65741
2020-10-04,48.65741
2020-10-05,48.65741
2020-10-06,48.65741
2020-10-07,48.65741
2020-10-08,48.65741
2020-10-09,48.65741
2020-10-10,48.65741
2020-10-11,48.65741
2020-10-12,48.65741
2020-10-13,48.65741
2020-10-14,48.65741
2020-10-15,48.65741
2020-10-16,48.65741
2020-10-17,48.65741
2020-10-18,48.65741
2020-10-19,48.65741
2020-10-20,48.65741
2020-10-21,48.65741
2020-10-22,48.65741
2020-10-23,48.65741
2020-10-24,48.65741
2020-10-25,48.65741
2020-10-26,49.90741
2020-10-27,49.90741
2020-10-28,49.90741
2020-10-29,49.90741
2020-10-30,49.90741
2020-10-31,49.90741
2020-11-01,49.90741
2020-11-02,49.90741
2020-11-03,49.90741
2020-11-04,49.90741
2020-11-05,49.90741
2020-11-06,49.90741
2020-11-07,53.935181
2020-11-08,53.935181
2020-11-09,53.935181
2020-11-10,53.935181
2020-11-11,53.935181
2020-11-12,53.935181
2020-11-13,53.935181
2020-11-14,53.935181
2020-11-15,53.935181
2020-11-16,53.935181
2020-11-17,53.935181
2020-11-18,55.787037
2020-11-19,61.712963
2020-11-20,61.712963
2020-11-21,61.712963
2020-11-22,61.712963
2020-11-23,61.712963
2020-11-24,61.712963
2020-11-25,61.712963
2020-11-26,61.712963
2020-11-27,61.712963
2020-11-28,61.712963
2020-11-29,61.712963
2020-11-30,61.712963
2020-12-01,61.712963
2020-12-02,61.712963
2020-12-03,61.712963
2020-12-04,61.712963
2020-12-05,61.712963
2020-12-06,61.712963
2020-12-07,61.712963
2020-12-08,61.712963
2020-12-09,61.712963
2020-12-10,61.712963
2020-12-11,61.712963
2020-12-12,61.712963
2020-12-13,61.712963
2020-12-14,61.712963
2020-12-15,61.712963
2020-12-16,61.712963
2020-12-17,61.712963
2020-12-18,61.712963
2020-12-19,61.712963
2020-12-20,61.712963
2020-12-21,61.712963
2020-12-22,61.712963
2020-12-23,61.712963
2020-12-24,61.712963
2020-12-25,61.712963
2020-12-26,61.712963
2020-12-27,61.712963
2020-12-28,61.712963
2020-12-29,61.712963
2020-12-30,61.712963
2020-12-31,61.712963
2021-01-01,61.712963
2021-01-02,61.712963
2021-01-03,61.712963
2021-01-04,61.712963
2021-01-05,61.712963
2021-01-06,61.712963
2021-01-07,61.712963
2021-01-08,61.712963
2021-01-09,61.712963
2021-01-10,61.712963
2021-01-11,61.712963
2021-01-12,61.712963
2021-01-13,61.712963
2021-01-14,61.712963
2021-01-15,61.712963
2021-01-16,61.712963
2021-01-17,61.712963
2021-01-18,61.712963
2021-01-19,61.712963
2021-01-20,61.712963
2021-01-21,61.712963
2021-01-22,61.712963
2021-01-23,61.712963
2021-01-24,61.712963
2021-01-25,61.712963
2021-01-26,61.712963
2021-01-27,61.712963
2021-01-28,61.712963
2021-01-29,61.712963
2021-01-30,61.712963
2021-01-31,61.712963
2021-02-01,61.712963
2021-02-02,61.712963
2021-02-03,61.712963
2021-02-04,61.712963
2021-02-05,61.712963
2021-02-06,61.712963
2021-02-07,61.712963
2021-02-08,61.712963
2021-02-09,61.712963
2021-02-10,61.712963
2021-02-11,61.712963
2021-02-12,61.712963
2021-02-13,61.712963
2021-02-14,61.712963
2021-02-15,61.712963
2021-02-16,61.712963
2021-02-17,61.712963
2021-02-18,61.712963
2021-02-19,61.712963
2021-02-20,61.712963
2021-02-21,61.712963
2021-02-22,61.712963
